x,y,Result
0.4795484724791217,-0.5067473380606252,1.0
-0.5065471285662313,-0.29526019152424865,0.0
-0.40818824902529594,-0.33831890279948873,1.0
-0.1800291873897141,0.6877404115921032,1.0
-0.09520094588990752,0.2553646309667715,1.0
0.6108909434980551,0.1700291261425398,1.0
-0.0759619177254982,-0.4966247026551525,1.0
-0.4960582090026908,0.3079625860879901,0.0
-0.2489739276719529,0.12422411969864075,0.0
0.20148545829464848,0.28796892335765606,0.0
-0.3619432559752892,0.33197189489058243,1.0
0.156529109507858,0.6614416105716062,1.0
0.32188484233437714,-0.4646008249782017,1.0
-0.5398179132248636,-0.1005486692399722,0.0
-0.5805451711507752,0.15693879571555086,0.0
-0.3968081402003598,0.3063890625006697,1.0
-0.34208988997434997,-0.07225525151284745,0.0
0.25923694655973095,0.5100952223074506,1.0
0.3581803258946804,0.0077042293437351,1.0
0.3448357796634451,-0.6689435484451022,1.0
-0.38771939824191876,0.22382382520141908,0.0
0.26775506936512355,0.4520706203267098,1.0
-0.6828757931096411,0.4290871405244015,0.0
0.5386168028470392,0.09338577502677041,1.0
0.5879410639854328,0.024122789856279237,1.0
0.6935817008899883,0.33446780826915246,1.0
-0.560465177428987,-0.19194577361138274,0.0
0.5020499460796162,0.4926789750004909,1.0
0.2442386572346,-0.48856922886988396,1.0
0.39872699780648396,-0.37502742898845914,1.0
-0.4983605421293298,0.3852770398682485,0.0
0.6776801381742984,-0.5235038539187993,0.0
0.03931051261662197,-0.29844820557264184,0.0
-0.22117800200557428,-0.6698715698165215,1.0
-0.5445759006289422,0.09236046959259579,0.0
-0.0586770353868661,-0.35461797550137697,1.0
-0.6309958229746332,-0.5496427233273184,0.0
0.35076536266108943,0.31976980821426143,1.0
0.06202315270577604,-0.31413149350779257,0.0
-0.16712072286274965,-0.5833926190179588,1.0
0.05025037010088102,-0.3888087647181316,0.0
-0.5565261693708844,-0.5723339280528769,0.0
-0.14263937587051295,-0.36407416015299254,1.0
